tag,release_datetime
v1.0.0-beta,2024-12-05T10:58:21
v1.0.1-beta,2025-01-08T15:20:11
v1.0.2-beta,2025-01-16T09:55:44
v1.0.3-beta,2025-01-28T10:17:19
v1.0.4-beta,2025-02-07T10:12:36
v1.0.5-beta,2025-02-13T10:07:21
v1.0.6-beta,2025-02-26T13:34:45
v1.0.7-beta,2025-03-06T09:10:42
v1.0.8-beta,2025-03-13T09:11:31
v1.0.9-beta,2025-03-20T09:01:10
v1.0.10-beta,2025-03-27T11:38:24
v1.0.11-beta,2025-04-03T10:49:20
v1.0.12-beta,2025-04-11T08:22:12
v1.0.13-beta,2025-04-24T10:47:11
v1.0.15-beta,2025-05-08T10:26:08
v1.0.16-beta,2025-05-15T15:34:57
v1.0.17-beta,2025-05-29T09:39:10
v1.0.18-beta,2025-06-09T11:21:38
v1.0.19-beta,2025-06-13T09:34:23
v1.0.20-beta,2025-07-07T13:04:08
v1.0.21-beta,2025-07-14T08:19:19
v1.0.22-beta,2025-07-17T08:36:02
v1.0.23-beta,2025-07-23T15:17:31
v1.0.24-beta,2025-07-31T10:00:12
v1.0.25-beta,2025-08-08T11:09:00
v1.0.26-beta,2025-08-13T22:46:09
v1.0.27-beta,2025-08-27T11:43:18
