tag,release_datetime
v1.0.0-beta,2024-12-10T10:27:03
v1.0.1-beta,2025-01-14T10:51:11
v1.0.2-beta,2025-01-21T10:26:39
v1.0.3-beta,2025-01-28T10:23:16
v1.0.4-beta,2025-02-11T10:25:00
v1.0.5-beta,2025-02-18T10:30:43
v1.0.6-beta,2025-03-04T10:29:25
v1.0.7-beta,2025-03-11T10:37:55
v1.0.8-beta,2025-03-18T10:10:45
v1.0.9-beta,2025-03-25T10:25:47
v1.0.10-beta,2025-04-01T09:16:46
v1.0.11-beta,2025-04-08T09:25:56
v1.0.12-beta,2025-04-15T09:17:03
v1.0.13-beta,2025-04-29T09:22:29
v1.0.15-beta,2025-05-13T09:19:47
v1.0.16-beta,2025-05-20T09:05:37
v1.0.17-beta,2025-06-03T09:29:16
v1.0.18-beta,2025-06-10T09:29:09
v1.0.20-beta,2025-07-08T09:19:42
v1.0.21-beta,2025-07-16T09:08:38
