tag,release_datetime
v1.0.0-beta,2024-12-05T10:42:23
v1.0.1-beta,2025-01-08T15:13:53
v1.0.2-beta,2025-01-16T09:51:06
v1.0.3-beta,2025-01-23T11:45:25
v1.0.4-beta,2025-02-07T10:03:58
v1.0.5-beta,2025-02-13T09:53:31
v1.0.6-beta,2025-02-26T13:19:44
v1.0.7-beta,2025-03-06T08:52:52
v1.0.8-beta,2025-03-13T09:06:30
v1.0.9-beta,2025-03-20T08:51:13
v1.0.10-beta,2025-03-27T11:33:27
v1.0.11-beta,2025-04-03T09:45:43
v1.0.12-beta,2025-04-11T08:16:39
v1.0.13-beta,2025-04-24T10:41:48
v1.0.14-beta,2025-05-01T08:04:02
v1.0.15-beta,2025-05-08T10:15:51
v1.0.16-beta,2025-05-15T15:27:31
v1.0.17-beta,2025-05-29T09:34:13
v1.0.18-beta,2025-06-09T11:18:12
